8aa5f27847a70f679ccfa9fd4d8917fda90e9cf7	2026-04-30	zhijianma	chore(version): bump version to 1.1.5.post1 (#3970)
518ce42c08bdb600df276cebcbce7a96becc8f7c	2026-04-30	hongxicheng	feat(feishu): introduce FeishuCardHandler and upgrade tool_guard approval to interactive buttons (#3941)
d9526bf0be2c1055fa407c67d61ec556a117bc2c	2026-04-30	hongxicheng	fix(WeCom): keep placeholder stream alive to prevent stuck "Thinking..."  (#3950)
59ebc8e7c9fcd8be1a63ea73a18cf2608e4b0904	2026-04-30	Bowen Liang	feat(chat) adjust CodeMirror line wrapping in tool call input/output blocks (#3960)
90cf5acb2f35943e6deb93ac785bcf62a40dbbb4	2026-04-30	hongxicheng	fix(WeCom): avoid double reconnect race and cross-loop disconnect (#3963)
2709e95dc69c3ab51b52084add19e4819f4e50a0	2026-04-30	hongxicheng	feat(WeCom): add share_session_in_group toggle for group chats (#3948)
c85361ad0d6d89343c361944a9ecef2017e67030	2026-04-30	zhijianma	feat(app): prevent path traversal by rejecting absolute static file paths (#3973)
9b7acb3503fb75e48141d5cb2e8eaafdf0e42edd	2026-04-30	hongxicheng	feat(feishu): hint docs link on approval card when card.action.trigger is unsubscribed (#3982)
6368ca37f6d757c51bac0c31d9087fa6506cfd5d	2026-05-03	Yuexiang XIE	chore(version): bumping version to 1.1.6b1 (#4012)
d783c3b0b2ff3b6d013f26c9ed12e9dc17dbc53b	2026-05-03	Yuexiang XIE	docs(website): update documentation to v1.1.5 (#4013)
d85181a5335d7d45f034ceaa91cb9b8494ca9a56	2026-05-04	Eric Zhu	feat(chat): generate session titles asynchronously via LLM (#3829)
534d8ba0a3bbad52d6c15465b0f3853cff30336c	2026-05-06	karl	fix(message_processing): return resolved path for file:// url audio blocks (#4021)
694d31712d108a286434adc940a61af841b2c1c5	2026-05-06	Xuchen Pan	fix(provider): increase max_token for anthropic compatible models (#4054)
b458910f23544620b05ddc6a5053b0de37ceac51	2026-05-06	zhaozhuang521	perf(console): Solve duplicate rendering (#4052)
edf8ed11644112c9c60cc714284bc99b46f364fc	2026-05-06	qbc	fix(mcp): typo fix (#4058)
a8be4d7cebb4147276e694c08a2e8a2141ede7d4	2026-05-06	qbc	fix(mcp): use read_timeout_seconds as MCP tool execution_timeout instead of timeout (#4061)
ba7c4fd2b373b68d3c04f34162c581966df94390	2026-05-06	qbc	chore(utils): remove redundant codes (#4048)
e43731efc542a6b10046d194f3581d0d277a365d	2026-05-06	Runlin Lei	fix(telegram): telegram network retry (#4039)
bc5a81eb39f85c6d11e72dc33ad4c2adc0ec8717	2026-05-06	Jailton Fonseca	feat(i18n): add Brazilian Portuguese (pt-BR) locale support (#4009)
5c49769ecd8e269911f45731c38d96418751ee2c	2026-05-06	Runlin Lei	fix(skill):  resilient loading for migrated or malformed skill & skill pool entries (#4016)
27579ceab33a71de50970eeff8a9cbc01e615e79	2026-05-06	Yuexiang XIE	fix(approval): /approve shorthand ignores request_id argument (#4014)
